Max,Min,WL,Mean,RMS,Var,WAMP,SSC,Log,MaxF,MinF,WLF,MeanF,RMSF,VarF,WAMPF,SSCF,LogF,class
184,9,1182,124.85,17240.41,1669.5834,0,39,9.432283,4932.196,4.842533,18195.316,203.80353,293462.88,254471.72,1,74,9.922327,1
179,9,1030,120.58,15874.54,1348.4885,0,30,9.397484,2895.6753,3.581995,15374.96,177.20175,120668.68,90169.93,1,85,9.782459,1
184,4,1213,120.15,15597.95,1173.6633,0,32,9.393911,3404.8052,4.1192546,18284.062,191.75662,177025.1,141671.23,3,82,9.861397,1
216,3,1193,141.47,21622.17,1624.6559,0,39,9.557258,3563.9077,5.6915393,21612.666,219.04692,198940.48,152483.78,4,83,9.994456,1
274,12,1260,154.23,26210.05,2447.6333,0,33,9.643615,2736.572,6.005967,20914.145,228.6743,152769.02,101491.97,4,88,10.037469,1
259,9,1259,134.31,21418.87,3413.8342,0,30,9.505321,1781.9539,6.8235817,14957.746,167.83002,66070.61,38286.547,3,85,9.728122,1
184,8,1043,99.56,11078.16,1177.7438,0,27,9.205931,3404.8052,4.5246234,14272.863,156.56969,144142.2,120836.49,1,75,9.658671,1
200,10,1276,104.35,12188.03,1312.2294,0,40,9.252921,2863.8547,4.1192546,15249.671,168.35991,122931.87,95542.22,1,80,9.731275,1
243,4,1142,145.33,23218.13,2118.5054,0,26,9.584177,7064.1753,5.062645,23005.484,250.95038,566785.8,508898.78,1,78,10.130425,1
228,2,1257,134.43,20281.93,2232.8335,0,30,9.506214,3404.8052,4.053312,18372.088,205.53096,168713.31,127747.82,1,84,9.930767,1
174,9,1013,97.82,10422.3,862.16925,0,31,9.188299,2100.1597,3.3331468,12748.111,147.5623,72709.59,51449.465,3,83,9.599421,1
199,2,948,104.71,12673.53,1726.6122,0,20,9.256365,1972.8779,2.3898056,14050.101,154.59369,72300.28,48889.965,1,83,9.64597,1
171,10,1185,115.74,14426.34,1041.0023,0,32,9.356517,2832.034,3.5191803,16699.793,186.60516,130621.18,96767.35,3,81,9.834166,1
161,1,1105,101.95,11350.35,966.2098,0,28,9.229652,2863.8547,3.0187244,13476.975,153.56737,112072.48,89383.375,1,80,9.63931,1
144,4,1161,100.74,10762.18,619.8306,0,36,9.217713,4168.5,4.276497,17180.059,177.5307,222005.14,192412.08,3,74,9.784314,1
128,9,833,82.4,7212.24,426.74762,0,32,9.016756,2163.8013,2.830038,12311.457,134.26834,75018.82,57566.496,3,74,9.505011,1
38,1,225,15.2,302.6,72.28282,1,10,7.3264656,408,0.47167417,1915.9894,26.089277,3807.2842,3158.2166,1,47,7.8666945,2
18,1,112,8.4,90.88,20.525255,0,1,6.733402,255,0.15722494,1452.8016,16.982092,1634.361,1359.5657,5,25,7.43733,2
23,1,170,12.8,179.36,15.676765,1,10,7.1546154,477.30914,0.28300425,2132.0376,22.244102,3057.7236,2588.8118,3,37,7.7072473,2
22,1,167,9.69,127.71,34.155437,1,11,6.8762646,765,0.2515591,2142.4172,26.146711,8921.538,8321.101,2,14,7.8688936,2
34,1,210,12.24,184.28,34.81051,1,6,7.1098795,445.48846,0.21994877,2032.095,22.562672,2820.1733,2334.4438,3,29,7.721467,2
24,1,192,13.53,204.49,21.64556,1,11,7.2100797,222.74423,0.40847537,1784.4265,19.587593,1094.7462,718.2549,3,60,7.5800667,2
25,1,199,11.49,156.85,25.080702,1,12,7.046647,636.4121,0.2515591,2167.6755,23.145475,4819.399,4326.9556,1,24,7.7469697,2
20,1,154,8.07,79.33,14.348591,3,7,6.6933236,159.10303,0.37734056,1201.9917,12.685397,533.64136,376.4868,5,37,7.145622,2
43,2,249,19.34,455.56,82.34787,0,8,7.5673456,413.6679,0.5031182,2466.0837,30.420435,3748.926,2852.0435,4,50,8.020285,2
20,1,147,10.06,114.56,13.491311,1,6,6.9137373,413.6679,0.4402282,1570.4491,17.035898,2088.6812,1816.6254,1,31,7.440493,2
20,2,147,9.46,108.96,19.66505,1,14,6.8522425,255,0.3458924,1501.6794,17.684277,1509.0442,1208.394,4,40,7.477846,2
23,1,206,13.19,193.35,19.569609,1,11,7.184629,413.6679,0.4402282,2137.6091,22.131977,2475.4358,2005.668,3,40,7.7021937,2
19,1,168,9.57,106.21,14.772824,3,12,6.8638034,350.02667,0.15710577,1432.8224,17.038311,1605.0077,1327.9836,1,27,7.4406347,2
19,1,155,9.6,109.24,17.252523,1,12,6.8669333,357,0.3458924,1453.3231,17.473354,2009.9799,1721.8807,3,31,7.4658475,2
19,2,164,9.89,116.57,18.947369,1,12,6.896694,254.56487,0.15710577,1388.1163,15.8750305,1086.5842,842.9973,2,50,7.369918,2
20,1,214,11.18,142.82,18.007677,6,17,7.0192966,159.10303,0.37734056,1316.1062,15.793027,607.2551,361.44974,3,47,7.364739,2
28,1,232,12.59,191.47,33.29485,2,15,7.138073,350.02667,0.5345621,1768.8776,18.858824,1637.8096,1295.1052,1,45,7.542151,2
25,3,209,12.14,166.16,18.970102,1,10,7.101676,445.48846,0.3456306,2036.9497,22.644922,3033.8894,2546.5625,2,36,7.725106,2
29,1,212,15.18,277.4,47.442024,2,11,7.325149,445.48846,0.5655779,2419.067,25.413359,3229.699,2609.9597,3,40,7.840445,2
39,3,230,18.83,379.71,25.39505,0,13,7.5406218,413.6679,0.5660085,2883.0244,31.874748,3522.8665,2532.1887,4,64,8.066984,2
35,1,254,20.43,476.45,59.661728,0,14,7.6221747,318.20605,1.0997467,2429.4294,27.281336,1997.654,1266.0432,3,68,7.911373,2
44,3,340,27.13,803.89,68.53848,0,14,7.9058104,763.69464,0.91189826,3789.507,43.143623,8355.318,6559.5415,1,55,8.369705,2
32,3,232,17.1,331.78,39.767685,1,11,7.4442487,350.02667,0.62889975,2141.1357,25.986889,2332.644,1674.0659,3,60,7.8627625,2
29,1,155,10.28,148.16,42.910706,1,5,6.9353704,102,0.15722494,1077.212,14.020578,438.94824,244.81976,5,53,7.2456965,2
26,1,227,14.23,233.97,31.795042,2,18,7.2605224,381.84732,0.5660085,1985.1099,21.21921,2129.3289,1696.0343,3,50,7.660077,2
